season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2022,1,ferrari,44,1,1
2022,1,mercedes,27,0,2
2022,1,haas,10,0,3
2022,1,alfa,9,0,4
2022,1,alpine,8,0,5
2022,1,alphatauri,4,0,6
2022,1,aston_martin,0,0,7
2022,1,williams,0,0,8
2022,1,mclaren,0,0,9
2022,1,red_bull,0,0,10
2022,2,ferrari,78,1,1
2022,2,mercedes,38,0,2
2022,2,red_bull,37,1,3
2022,2,alpine,16,0,4
2022,2,haas,12,0,5
2022,2,alfa,9,0,6
2022,2,alphatauri,8,0,7
2022,2,mclaren,6,0,8
2022,2,aston_martin,0,0,9
2022,2,williams,0,0,10
2022,3,ferrari,104,2,1
2022,3,mercedes,65,0,2
2022,3,red_bull,55,1,3
2022,3,mclaren,24,0,4
2022,3,alpine,22,0,5
2022,3,alfa,13,0,6
2022,3,haas,12,0,7
2022,3,alphatauri,10,0,8
2022,3,williams,1,0,9
2022,3,aston_martin,0,0,10
2022,4,ferrari,124,2,1
2022,4,red_bull,113,2,2
2022,4,mercedes,77,0,3
2022,4,mclaren,46,0,4
2022,4,alfa,25,0,5
2022,4,alpine,22,0,6
2022,4,alphatauri,16,0,7
2022,4,haas,15,0,8
2022,4,aston_martin,5,0,9
2022,4,williams,1,0,10
2022,5,ferrari,157,2,1
2022,5,red_bull,151,3,2
2022,5,mercedes,95,0,3
2022,5,mclaren,46,0,4
2022,5,alfa,31,0,5
2022,5,alpine,26,0,6
2022,5,alphatauri,16,0,7
2022,5,haas,15,0,8
2022,5,aston_martin,6,0,9
2022,5,williams,3,0,10
2022,6,red_bull,195,4,1
2022,6,ferrari,169,2,2
2022,6,mercedes,120,0,3
2022,6,mclaren,50,0,4
2022,6,alfa,39,0,5
2022,6,alpine,34,0,6
2022,6,alphatauri,17,0,7
2022,6,haas,15,0,8
2022,6,aston_martin,6,0,9
2022,6,williams,3,0,10
2022,7,red_bull,235,5,1
2022,7,ferrari,199,2,2
2022,7,mercedes,134,0,3
2022,7,mclaren,59,0,4
2022,7,alfa,41,0,5
2022,7,alpine,40,0,6
2022,7,alphatauri,17,0,7
2022,7,haas,15,0,8
2022,7,aston_martin,7,0,9
2022,7,williams,3,0,10
2022,8,red_bull,279,6,1
2022,8,ferrari,199,2,2
2022,8,mercedes,161,0,3
2022,8,mclaren,65,0,4
2022,8,alpine,47,0,5
2022,8,alfa,41,0,6
2022,8,alphatauri,27,0,7
2022,8,haas,15,0,8
2022,8,aston_martin,15,0,9
2022,8,williams,3,0,10
2022,9,red_bull,304,7,1
2022,9,ferrari,228,2,2
2022,9,mercedes,188,0,3
2022,9,mclaren,65,0,4
2022,9,alpine,57,0,5
2022,9,alfa,51,0,6
2022,9,alphatauri,27,0,7
2022,9,aston_martin,16,0,8
2022,9,haas,15,0,9
2022,9,williams,3,0,10
2022,10,red_bull,328,7,1
2022,10,ferrari,265,3,2
2022,10,mercedes,204,0,3
2022,10,mclaren,73,0,4
2022,10,alpine,67,0,5
2022,10,alfa,51,0,6
2022,10,alphatauri,27,0,7
2022,10,haas,20,0,8
2022,10,aston_martin,18,0,9
2022,10,williams,3,0,10
2022,11,red_bull,359,7,1
2022,11,ferrari,303,4,2
2022,11,mercedes,237,0,3
2022,11,mclaren,81,0,4
2022,11,alpine,81,0,5
2022,11,alfa,51,0,6
2022,11,haas,34,0,7
2022,11,alphatauri,27,0,8
2022,11,aston_martin,18,0,9
2022,11,williams,3,0,10
2022,12,red_bull,396,8,1
2022,12,ferrari,314,4,2
2022,12,mercedes,270,0,3
2022,12,alpine,93,0,4
2022,12,mclaren,89,0,5
2022,12,alfa,51,0,6
2022,12,haas,34,0,7
2022,12,alphatauri,27,0,8
2022,12,aston_martin,19,0,9
2022,12,williams,3,0,10
2022,13,red_bull,431,9,1
2022,13,ferrari,334,4,2
2022,13,mercedes,304,0,3
2022,13,alpine,99,0,4
2022,13,mclaren,95,0,5
2022,13,alfa,51,0,6
2022,13,haas,34,0,7
2022,13,alphatauri,27,0,8
2022,13,aston_martin,20,0,9
2022,13,williams,3,0,10
2022,14,red_bull,475,10,1
2022,14,ferrari,357,4,2
2022,14,mercedes,316,0,3
2022,14,alpine,115,0,4
2022,14,mclaren,95,0,5
2022,14,alfa,51,0,6
2022,14,haas,34,0,7
2022,14,alphatauri,29,0,8
2022,14,aston_martin,24,0,9
2022,14,williams,4,0,10
2022,15,red_bull,511,11,1
2022,15,ferrari,376,4,2
2022,15,mercedes,346,0,3
2022,15,alpine,125,0,4
2022,15,mclaren,101,0,5
2022,15,alfa,51,0,6
2022,15,haas,34,0,7
2022,15,alphatauri,29,0,8
2022,15,aston_martin,25,0,9
2022,15,williams,4,0,10
2022,16,red_bull,545,12,1
2022,16,ferrari,406,4,2
2022,16,mercedes,371,0,3
2022,16,alpine,125,0,4
2022,16,mclaren,107,0,5
2022,16,alfa,52,0,6
2022,16,haas,34,0,7
2022,16,alphatauri,33,0,8
2022,16,aston_martin,25,0,9
2022,16,williams,6,0,10
2022,17,red_bull,576,13,1
2022,17,ferrari,439,4,2
2022,17,mercedes,373,0,3
2022,17,mclaren,129,0,4
2022,17,alpine,125,0,5
2022,17,alfa,52,0,6
2022,17,aston_martin,37,0,7
2022,17,haas,34,0,8
2022,17,alphatauri,34,0,9
2022,17,williams,6,0,10
2022,18,red_bull,619,14,1
2022,18,ferrari,454,4,2
2022,18,mercedes,387,0,3
2022,18,alpine,143,0,4
2022,18,mclaren,130,0,5
2022,18,alfa,52,0,6
2022,18,aston_martin,45,0,7
2022,18,haas,34,0,8
2022,18,alphatauri,34,0,9
2022,18,williams,8,0,10
2022,19,red_bull,656,15,1
2022,19,ferrari,469,4,2
2022,19,mercedes,416,0,3
2022,19,alpine,149,0,4
2022,19,mclaren,138,0,5
2022,19,alfa,52,0,6
2022,19,aston_martin,49,0,7
2022,19,haas,36,0,8
2022,19,alphatauri,35,0,9
2022,19,williams,8,0,10
2022,20,red_bull,696,16,1
2022,20,ferrari,487,4,2
2022,20,mercedes,447,0,3
2022,20,alpine,153,0,4
2022,20,mclaren,146,0,5
2022,20,alfa,53,0,6
2022,20,aston_martin,49,0,7
2022,20,haas,36,0,8
2022,20,alphatauri,35,0,9
2022,20,williams,8,0,10
2022,21,red_bull,719,16,1
2022,21,ferrari,524,4,2
2022,21,mercedes,505,1,3
2022,21,alpine,167,0,4
2022,21,mclaren,148,0,5
2022,21,alfa,55,0,6
2022,21,aston_martin,50,0,7
2022,21,haas,37,0,8
2022,21,alphatauri,35,0,9
2022,21,williams,8,0,10
2022,22,red_bull,759,17,1
2022,22,ferrari,554,4,2
2022,22,mercedes,515,1,3
2022,22,alpine,173,0,4
2022,22,mclaren,159,0,5
2022,22,alfa,55,0,6
2022,22,aston_martin,55,0,7
2022,22,haas,37,0,8
2022,22,alphatauri,35,0,9
2022,22,williams,8,0,10
2023,1,red_bull,43,1,1
2023,1,aston_martin,23,0,2
2023,1,mercedes,16,0,3
2023,1,ferrari,12,0,4
2023,1,alfa,4,0,5
2023,1,alpine,2,0,6
2023,1,williams,1,0,7
2023,1,alphatauri,0,0,8
2023,1,haas,0,0,9
2023,1,mclaren,0,0,10
2023,2,red_bull,87,2,1
2023,2,aston_martin,38,0,2
2023,2,mercedes,38,0,3
2023,2,ferrari,26,0,4
2023,2,alpine,8,0,5
2023,2,alfa,4,0,6
2023,2,haas,1,0,7
2023,2,williams,1,0,8
2023,2,alphatauri,0,0,9
2023,2,mclaren,0,0,10
2023,3,red_bull,123,3,1
2023,3,aston_martin,65,0,2
2023,3,mercedes,56,0,3
2023,3,ferrari,26,0,4
2023,3,mclaren,12,0,5
2023,3,alpine,8,0,6
2023,3,haas,7,0,7
2023,3,alfa,6,0,8
2023,3,alphatauri,1,0,9
2023,3,williams,1,0,10
2023,4,red_bull,180,4,1
2023,4,aston_martin,87,0,2
2023,4,mercedes,76,0,3
2023,4,ferrari,62,0,4
2023,4,mclaren,14,0,5
2023,4,alpine,8,0,6
2023,4,haas,7,0,7
2023,4,alfa,6,0,8
2023,4,alphatauri,2,0,9
2023,4,williams,1,0,10
2023,5,red_bull,224,5,1
2023,5,aston_martin,102,0,2
2023,5,mercedes,96,0,3
2023,5,ferrari,78,0,4
2023,5,mclaren,14,0,5
2023,5,alpine,14,0,6
2023,5,haas,8,0,7
2023,5,alfa,6,0,8
2023,5,alphatauri,2,0,9
2023,5,williams,1,0,10
2023,6,red_bull,249,6,1
2023,6,aston_martin,120,0,2
2023,6,mercedes,119,0,3
2023,6,ferrari,90,0,4
2023,6,alpine,35,0,5
2023,6,mclaren,17,0,6
2023,6,haas,8,0,7
2023,6,alfa,6,0,8
2023,6,alphatauri,2,0,9
2023,6,williams,1,0,10
2023,7,red_bull,287,7,1
2023,7,mercedes,152,0,2
2023,7,aston_martin,134,0,3
2023,7,ferrari,100,0,4
2023,7,alpine,40,0,5
2023,7,mclaren,17,0,6
2023,7,haas,8,0,7
2023,7,alfa,8,0,8
2023,7,alphatauri,2,0,9
2023,7,williams,1,0,10
2023,8,red_bull,321,8,1
2023,8,mercedes,167,0,2
2023,8,aston_martin,154,0,3
2023,8,ferrari,122,0,4
2023,8,alpine,44,0,5
2023,8,mclaren,17,0,6
2023,8,alfa,9,0,7
2023,8,haas,8,0,8
2023,8,williams,7,0,9
2023,8,alphatauri,2,0,10
2023,9,red_bull,377,9,1
2023,9,mercedes,178,0,2
2023,9,aston_martin,175,0,3
2023,9,ferrari,154,0,4
2023,9,alpine,47,0,5
2023,9,mclaren,29,0,6
2023,9,haas,11,0,7
2023,9,alfa,9,0,8
2023,9,williams,7,0,9
2023,9,alphatauri,2,0,10
2023,10,red_bull,411,10,1
2023,10,mercedes,203,0,2
2023,10,aston_martin,181,0,3
2023,10,ferrari,157,0,4
2023,10,mclaren,59,0,5
2023,10,alpine,47,0,6
2023,10,williams,11,0,7
2023,10,haas,11,0,8
2023,10,alfa,9,0,9
2023,10,alphatauri,2,0,10
2023,11,red_bull,452,11,1
2023,11,mercedes,223,0,2
2023,11,aston_martin,184,0,3
2023,11,ferrari,167,0,4
2023,11,mclaren,87,0,5
2023,11,alpine,47,0,6
2023,11,williams,11,0,7
2023,11,haas,11,0,8
2023,11,alfa,9,0,9
2023,11,alphatauri,2,0,10
2023,12,red_bull,503,12,1
2023,12,mercedes,247,0,2
2023,12,aston_martin,196,0,3
2023,12,ferrari,191,0,4
2023,12,mclaren,103,0,5
2023,12,alpine,57,0,6
2023,12,williams,11,0,7
2023,12,haas,11,0,8
2023,12,alfa,9,0,9
2023,12,alphatauri,3,0,10
2023,13,red_bull,540,13,1
2023,13,mercedes,255,0,2
2023,13,aston_martin,215,0,3
2023,13,ferrari,201,0,4
2023,13,mclaren,111,0,5
2023,13,alpine,73,0,6
2023,13,williams,15,0,7
2023,13,haas,11,0,8
2023,13,alfa,9,0,9
2023,13,alphatauri,3,0,10
2023,14,red_bull,583,14,1
2023,14,mercedes,273,0,2
2023,14,ferrari,228,0,3
