season,round,driver,driver_points,driver_wins,driver_standings_pos
2022,1,leclerc,26,1,1
2022,1,sainz,18,0,2
2022,1,hamilton,15,0,3
2022,1,russell,12,0,4
2022,1,kevin_magnussen,10,0,5
2022,1,bottas,8,0,6
2022,1,ocon,6,0,7
2022,1,tsunoda,4,0,8
2022,1,alonso,2,0,9
2022,1,zhou,1,0,10
2022,1,mick_schumacher,0,0,11
2022,1,stroll,0,0,12
2022,1,albon,0,0,13
2022,1,ricciardo,0,0,14
2022,1,norris,0,0,15
2022,1,latifi,0,0,16
2022,1,hulkenberg,0,0,17
2022,1,perez,0,0,18
2022,1,max_verstappen,0,0,19
2022,1,gasly,0,0,20
2022,2,leclerc,45,1,1
2022,2,sainz,33,0,2
2022,2,max_verstappen,25,1,3
2022,2,russell,22,0,4
2022,2,hamilton,16,0,5
2022,2,ocon,14,0,6
2022,2,perez,12,0,7
2022,2,kevin_magnussen,12,0,8
2022,2,bottas,8,0,9
2022,2,norris,6,0,10
2022,2,tsunoda,4,0,11
2022,2,gasly,4,0,12
2022,2,alonso,2,0,13
2022,2,zhou,1,0,14
2022,2,mick_schumacher,0,0,15
2022,2,stroll,0,0,16
2022,2,hulkenberg,0,0,17
2022,2,albon,0,0,18
2022,2,ricciardo,0,0,19
2022,2,latifi,0,0,20
2022,3,leclerc,71,2,1
2022,3,russell,37,0,2
2022,3,sainz,33,0,3
2022,3,perez,30,0,4
2022,3,hamilton,28,0,5
2022,3,max_verstappen,25,1,6
2022,3,ocon,20,0,7
2022,3,norris,16,0,8
2022,3,kevin_magnussen,12,0,9
2022,3,bottas,12,0,10
2022,3,ricciardo,8,0,11
2022,3,gasly,6,0,12
2022,3,tsunoda,4,0,13
2022,3,alonso,2,0,14
2022,3,zhou,1,0,15
2022,3,albon,1,0,16
2022,3,mick_schumacher,0,0,17
2022,3,stroll,0,0,18
2022,3,hulkenberg,0,0,19
2022,3,latifi,0,0,20
2022,3,vettel,0,0,21
2022,4,leclerc,86,2,1
2022,4,max_verstappen,59,2,2
2022,4,perez,54,0,3
2022,4,russell,49,0,4
2022,4,sainz,38,0,5
2022,4,norris,35,0,6
2022,4,hamilton,28,0,7
2022,4,bottas,24,0,8
2022,4,ocon,20,0,9
2022,4,kevin_magnussen,15,0,10
2022,4,ricciardo,11,0,11
2022,4,tsunoda,10,0,12
2022,4,gasly,6,0,13
2022,4,vettel,4,0,14
2022,4,alonso,2,0,15
2022,4,zhou,1,0,16
2022,4,albon,1,0,17
2022,4,stroll,1,0,18
2022,4,mick_schumacher,0,0,19
2022,4,hulkenberg,0,0,20
2022,4,latifi,0,0,21
2022,5,leclerc,104,2,1
2022,5,max_verstappen,85,3,2
2022,5,perez,66,0,3
2022,5,russell,59,0,4
2022,5,sainz,53,0,5
2022,5,hamilton,36,0,6
2022,5,norris,35,0,7
2022,5,bottas,30,0,8
2022,5,ocon,24,0,9
2022,5,kevin_magnussen,15,0,10
2022,5,ricciardo,11,0,11
2022,5,tsunoda,10,0,12
2022,5,gasly,6,0,13
2022,5,vettel,4,0,14
2022,5,albon,3,0,15
2022,5,alonso,2,0,16
2022,5,stroll,2,0,17
2022,5,zhou,1,0,18
2022,5,mick_schumacher,0,0,19
2022,5,hulkenberg,0,0,20
2022,5,latifi,0,0,21
2022,6,max_verstappen,110,4,1
2022,6,leclerc,104,2,2
2022,6,perez,85,0,3
2022,6,russell,74,0,4
2022,6,sainz,65,0,5
2022,6,hamilton,46,0,6
2022,6,norris,39,0,7
2022,6,bottas,38,0,8
2022,6,ocon,30,0,9
2022,6,kevin_magnussen,15,0,10
2022,6,tsunoda,11,0,11
2022,6,ricciardo,11,0,12
2022,6,gasly,6,0,13
2022,6,vettel,4,0,14
2022,6,alonso,4,0,15
2022,6,albon,3,0,16
2022,6,stroll,2,0,17
2022,6,zhou,1,0,18
2022,6,mick_schumacher,0,0,19
