season,round,url,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,leclerc,1,1,26,1,1,44,1,1,90.55799999999999,24
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,max_verstappen,2,19,0,0,19,0,0,10,181.23899999999998,24
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,sainz,3,2,18,0,2,44,1,1,271.926,27
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,perez,4,18,0,0,18,0,0,10,362.847,32
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,hamilton,5,3,15,0,3,27,0,2,454.085,37
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,bottas,6,6,8,0,6,9,0,4,545.645,32
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,kevin_magnussen,7,5,10,0,5,10,0,3,637.453,29
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,alonso,8,9,2,0,9,8,0,5,729.6479999999999,40
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,russell,9,4,12,0,4,27,0,2,821.864,24
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,gasly,10,20,0,0,20,4,0,6,914.202,26
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,ocon,11,7,6,0,7,8,0,5,1005.9839999999999,25
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,mick_schumacher,12,11,0,0,11,10,0,3,1097.982,22
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,norris,13,15,0,0,15,0,0,9,1189.99,22
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,albon,14,13,0,0,13,0,0,8,1282.654,25
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,zhou,15,10,1,0,10,9,0,4,1376.197,22
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,tsunoda,16,8,4,0,8,4,0,6,1468.947,21
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,hulkenberg,17,17,0,0,17,0,0,7,1561.724,34
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,ricciardo,18,14,0,0,14,0,0,9,1654.6689999999999,32
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,stroll,19,12,0,0,12,0,0,7,1747.701,23
2022,1,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,False,False,False,False,False,latifi,20,16,0,0,16,0,0,8,1841.335,26
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,perez,1,4,12,0,7,37,1,3,88.2,32
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,leclerc,2,2,45,1,1,78,1,1,176.425,24
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,sainz,3,3,33,0,2,78,1,1,264.827,27
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,max_verstappen,4,1,25,1,3,37,1,3,353.288,24
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,ocon,5,6,14,0,6,16,0,4,442.356,25
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,russell,6,5,22,0,4,38,0,2,531.46,24
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,alonso,7,16,2,0,13,16,0,4,620.607,40
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,bottas,8,15,8,0,9,9,0,6,709.79,32
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,gasly,9,8,4,0,12,8,0,7,799.044,26
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,kevin_magnussen,10,9,12,0,8,12,0,5,888.632,29
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,norris,11,7,6,0,10,6,0,8,978.283,22
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,zhou,12,11,1,0,14,9,0,6,1068.1019999999999,22
2022,2,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,False,False,False,False,False,stroll,13,13,0,0,16,0,0,9,1159.1109999999999,23
