season,round,circuit_id,lat,long,country,date,url
2000,1,albert_park,-37.8497,144.968,Australia,2000-03-12,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,2,interlagos,-23.7036,-46.6997,Brazil,2000-03-26,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix
2000,3,imola,44.3439,11.7167,Italy,2000-04-09,http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix
2000,4,silverstone,52.0786,-1.01694,UK,2000-04-23,http://en.wikipedia.org/wiki/2000_British_Grand_Prix
2000,5,catalunya,41.57,2.26111,Spain,2000-05-07,http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix
2000,6,nurburgring,50.3356,6.9475,Germany,2000-05-21,http://en.wikipedia.org/wiki/2000_European_Grand_Prix
2000,7,monaco,43.7347,7.42056,Monaco,2000-06-04,http://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix
2000,8,villeneuve,45.5,-73.5228,Canada,2000-06-18,http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix
2000,9,magny_cours,46.8642,3.16361,France,2000-07-02,http://en.wikipedia.org/wiki/2000_French_Grand_Prix
2000,10,red_bull_ring,47.2197,14.7647,Austria,2000-07-16,http://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix
2000,11,hockenheimring,49.3278,8.56583,Germany,2000-07-30,http://en.wikipedia.org/wiki/2000_German_Grand_Prix
2000,12,hungaroring,47.5789,19.2486,Hungary,2000-08-13,http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix
2000,13,spa,50.4372,5.97139,Belgium,2000-08-27,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
2000,14,monza,45.6156,9.28111,Italy,2000-09-10,http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix
2000,15,indianapolis,39.795,-86.2347,USA,2000-09-24,http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix
2000,16,suzuka,34.8431,136.541,Japan,2000-10-08,http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix
2000,17,sepang,2.76083,101.738,Malaysia,2000-10-22,http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix
2001,1,albert_park,-37.8497,144.968,Australia,2001-03-04,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix
2001,2,sepang,2.76083,101.738,Malaysia,2001-03-18,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix
2001,3,interlagos,-23.7036,-46.6997,Brazil,2001-04-01,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix
2001,4,imola,44.3439,11.7167,Italy,2001-04-15,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix
2001,5,catalunya,41.57,2.26111,Spain,2001-04-29,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix
2001,6,red_bull_ring,47.2197,14.7647,Austria,2001-05-13,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix
2001,7,monaco,43.7347,7.42056,Monaco,2001-05-27,http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix
2001,8,villeneuve,45.5,-73.5228,Canada,2001-06-10,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix
2001,9,nurburgring,50.3356,6.9475,Germany,2001-06-24,http://en.wikipedia.org/wiki/2001_European_Grand_Prix
2001,10,magny_cours,46.8642,3.16361,France,2001-07-01,http://en.wikipedia.org/wiki/2001_French_Grand_Prix
2001,11,silverstone,52.0786,-1.01694,UK,2001-07-15,http://en.wikipedia.org/wiki/2001_British_Grand_Prix
2001,12,hockenheimring,49.3278,8.56583,Germany,2001-07-29,http://en.wikipedia.org/wiki/2001_German_Grand_Prix
2001,13,hungaroring,47.5789,19.2486,Hungary,2001-08-19,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix
2001,14,spa,50.4372,5.97139,Belgium,2001-09-02,http://en.wikipedia.org/wiki/2001_Belgian_Grand_Prix
2001,15,monza,45.6156,9.28111,Italy,2001-09-16,http://en.wikipedia.org/wiki/2001_Italian_Grand_Prix
2001,16,indianapolis,39.795,-86.2347,USA,2001-09-30,http://en.wikipedia.org/wiki/2001_United_States_Grand_Prix
2001,17,suzuka,34.8431,136.541,Japan,2001-10-14,http://en.wikipedia.org/wiki/2001_Japanese_Grand_Prix
2002,1,albert_park,-37.8497,144.968,Australia,2002-03-03,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix
2002,2,sepang,2.76083,101.738,Malaysia,2002-03-17,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix
2002,3,interlagos,-23.7036,-46.6997,Brazil,2002-03-31,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix
2002,4,imola,44.3439,11.7167,Italy,2002-04-14,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix
2002,5,catalunya,41.57,2.26111,Spain,2002-04-28,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix
2002,6,red_bull_ring,47.2197,14.7647,Austria,2002-05-12,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix
2002,7,monaco,43.7347,7.42056,Monaco,2002-05-26,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix
2002,8,villeneuve,45.5,-73.5228,Canada,2002-06-09,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix
2002,9,nurburgring,50.3356,6.9475,Germany,2002-06-23,http://en.wikipedia.org/wiki/2002_European_Grand_Prix
2002,10,silverstone,52.0786,-1.01694,UK,2002-07-07,http://en.wikipedia.org/wiki/2002_British_Grand_Prix
2002,11,magny_cours,46.8642,3.16361,France,2002-07-21,http://en.wikipedia.org/wiki/2002_French_Grand_Prix
2002,12,hockenheimring,49.3278,8.56583,Germany,2002-07-28,http://en.wikipedia.org/wiki/2002_German_Grand_Prix
2002,13,hungaroring,47.5789,19.2486,Hungary,2002-08-18,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
2002,14,spa,50.4372,5.97139,Belgium,2002-09-01,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
