season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
2022,1,bahrain,leclerc,1997-10-16,Monegasque,ferrari,1,5853584,Finished,26,1
2022,1,bahrain,sainz,1994-09-01,Spanish,ferrari,3,5859182,Finished,18,2
2022,1,bahrain,hamilton,1985-01-07,British,mercedes,5,5863259,Finished,15,3
2022,1,bahrain,russell,1998-02-15,British,mercedes,9,5864795,Finished,12,4
2022,1,bahrain,kevin_magnussen,1992-10-05,Danish,haas,7,5868338,Finished,10,5
2022,1,bahrain,bottas,1989-08-28,Finnish,alfa,6,5869703,Finished,8,6
2022,1,bahrain,ocon,1996-09-17,French,alpine,11,5873007,Finished,6,7
2022,1,bahrain,tsunoda,2000-05-11,Japanese,alphatauri,16,5873970,Finished,4,8
2022,1,bahrain,alonso,1981-07-29,Spanish,alpine,8,5875974,Finished,2,9
2022,1,bahrain,zhou,1999-05-30,Chinese,alfa,15,5876648,Finished,1,10
2022,1,bahrain,mick_schumacher,1999-03-22,German,haas,12,5886158,Finished,0,11
2022,1,bahrain,stroll,1998-10-29,Canadian,aston_martin,19,5899457,Finished,0,12
2022,1,bahrain,albon,1996-03-23,Thai,williams,14,5907516,Finished,0,13
2022,1,bahrain,ricciardo,1989-07-01,Australian,mclaren,18,5908559,Finished,0,14
2022,1,bahrain,norris,1999-11-13,British,mclaren,13,5909919,Finished,0,15
2022,1,bahrain,latifi,1995-06-29,Canadian,williams,20,5915379,Finished,0,16
2022,1,bahrain,hulkenberg,1987-08-19,German,aston_martin,17,5917413,Finished,0,17
2022,1,bahrain,perez,1990-01-26,Mexican,red_bull,4,,Fuel pressure,0,18
2022,1,bahrain,max_verstappen,1997-09-30,Dutch,red_bull,2,,Fuel pressure,0,19
2022,1,bahrain,gasly,1996-02-07,French,alphatauri,10,,Power Unit,0,20
2022,2,jeddah,max_verstappen,1997-09-30,Dutch,red_bull,4,5059293,Finished,25,1
2022,2,jeddah,leclerc,1997-10-16,Monegasque,ferrari,2,5059842,Finished,19,2
2022,2,jeddah,sainz,1994-09-01,Spanish,ferrari,3,5067390,Finished,15,3
2022,2,jeddah,perez,1990-01-26,Mexican,red_bull,1,5070093,Finished,12,4
2022,2,jeddah,russell,1998-02-15,British,mercedes,6,5092025,Finished,10,5
2022,2,jeddah,ocon,1996-09-17,French,alpine,5,5115310,Finished,8,6
2022,2,jeddah,norris,1999-11-13,British,mclaren,11,5115417,Finished,6,7
2022,2,jeddah,gasly,1996-02-07,French,alphatauri,9,5122239,Finished,4,8
2022,2,jeddah,kevin_magnussen,1992-10-05,Danish,haas,10,5123601,Finished,2,9
2022,2,jeddah,hamilton,1985-01-07,British,mercedes,15,5133241,Finished,1,10
2022,2,jeddah,zhou,1999-05-30,Chinese,alfa,12,5141508,Finished,0,11
2022,2,jeddah,hulkenberg,1987-08-19,German,aston_martin,17,5151035,Finished,0,12
2022,2,jeddah,stroll,1998-10-29,Canadian,aston_martin,13,,+1 Lap,0,13
2022,2,jeddah,albon,1996-03-23,Thai,williams,16,,Collision damage,0,14
2022,2,jeddah,bottas,1989-08-28,Finnish,alfa,8,,Cooling system,0,15
2022,2,jeddah,alonso,1981-07-29,Spanish,alpine,7,,Water pump,0,16
2022,2,jeddah,ricciardo,1989-07-01,Australian,mclaren,14,,Gearbox,0,17
2022,2,jeddah,latifi,1995-06-29,Canadian,williams,18,,Accident,0,18
2022,2,jeddah,tsunoda,2000-05-11,Japanese,alphatauri,19,,Power Unit,0,19
2022,2,jeddah,mick_schumacher,1999-03-22,German,haas,0,,Withdrew,0,20
2022,3,albert_park,leclerc,1997-10-16,Monegasque,ferrari,1,5266548,Finished,26,1
2022,3,albert_park,perez,1990-01-26,Mexican,red_bull,3,5287072,Finished,18,2
2022,3,albert_park,russell,1998-02-15,British,mercedes,6,5292141,Finished,15,3
2022,3,albert_park,hamilton,1985-01-07,British,mercedes,5,5295091,Finished,12,4
2022,3,albert_park,norris,1999-11-13,British,mclaren,4,5319851,Finished,10,5
2022,3,albert_park,ricciardo,1989-07-01,Australian,mclaren,7,5320285,Finished,8,6
2022,3,albert_park,ocon,1996-09-17,French,alpine,8,5328231,Finished,6,7
2022,3,albert_park,bottas,1989-08-28,Finnish,alfa,12,5334987,Finished,4,8
2022,3,albert_park,gasly,1996-02-07,French,alphatauri,11,5342769,Finished,2,9
2022,3,albert_park,albon,1996-03-23,Thai,williams,20,5345930,Finished,1,10
2022,3,albert_park,zhou,1999-05-30,Chinese,alfa,14,5348243,Finished,0,11
2022,3,albert_park,stroll,1998-10-29,Canadian,aston_martin,19,5355146,Finished,0,12
2022,3,albert_park,mick_schumacher,1999-03-22,German,haas,15,,+1 Lap,0,13
2022,3,albert_park,kevin_magnussen,1992-10-05,Danish,haas,16,,+1 Lap,0,14
2022,3,albert_park,tsunoda,2000-05-11,Japanese,alphatauri,13,,+1 Lap,0,15
2022,3,albert_park,latifi,1995-06-29,Canadian,williams,18,,+1 Lap,0,16
2022,3,albert_park,alonso,1981-07-29,Spanish,alpine,10,,+1 Lap,0,17
2022,3,albert_park,max_verstappen,1997-09-30,Dutch,red_bull,2,,Fuel leak,0,18
2022,3,albert_park,vettel,1987-07-03,German,aston_martin,17,,Accident,0,19
